NO,name,smi,Dataset,logPapp
A-1,(-)-epicatechin,O1c2c(CC(O)C1c1cc(O)c(O)cc1)c(O)cc(O)c2,Tr,-6.2199998
A-10,"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",O=C(NCC(C)C)\C=C\C=C/CCC#C\C=C/C,Tr,-3.8599999
A-100,CNV 97104,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CC(N(CC1)CCCC)C,Tr,-4.8600001
A-101,codeine,O1[C@@H]2[C@]34[C@H]([C@H](N(CC3)C)Cc3c4c1c(OC)cc3)C=C[C@@H]2O,Tr,-4.0900002
A-104,coumarin,O1c2c(C=CC1=O)cccc2,Tr,-4.25
A-105,creatinine,O=C1NC(=N)N(C1)C,Tr,-5.9354091
A-108,daidzein ,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,Tr,-4.6799998
A-110,danazol,o1ncc2C[C@@]3([C@@H]4[C@H]([C@@H]5CC[C@@](O)(C#C)[C@]5(CC4)C)CCC3=Cc12)C,Tr,-4.8400002
A-111,davidigenin,Oc1cc(O)ccc1C(=O)CCc1ccc(O)cc1,Tr,-4.7399998
A-114,dexamethasone,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Tr,-4.8299999
A-115,dexamethasone b D glucoside,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Tr,-6.54
A-116,dexamethasone b D glucuronide,F[C@@]12[C@H]([C@@H]3C[C@@H](C)[C@](O)(C(=O)CO[C@H]4O[C@@H](C(O)=O)[C@H](O)[C@@H](O)[C@@H]4O)[C@]3(C[C@@H]1O)C)CCC1=CC(=O)C=C[C@@]12C,Tr,-6.1199999
A-119,diazepam,Clc1cc2c(N(C)C(=O)CN=C2c2ccccc2)cc1,Tr,-4.4499998
A-121,digoxin,O1CC(=CC1=O)[C@H]1CC[C@]2(O)[C@H]3[C@H](C[C@@H](O)[C@]12C)[C@@]1([C@@H](C[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@@H]4O[C@H](C)[C@@H](O[C@@H]5O[C@H](C)[C@@H](O)[C@@H](O)C5)[C@@H](O)C4)[C@@H](O)C2)CC1)CC3)C,Tr,-5.585
A-124,DMP 581,O=Cc1n(Cc2ccc(cc2)-c2ccccc2-c2[nH]nnn2)c(nc1CC)CCC,Tr,-5.48
A-127,DMXAA,O1c2c(ccc(C)c2C)C(=O)c2c1c(ccc2)CC(O)=O,Tr,-4.5999999
A-128,DMXAA-G,O1C(C(O)=O)[C@@H](O)[C@@H](O)[C@H](O)C1OC(=O)Cc1c2Oc3c(ccc(C)c3C)C(=O)c2ccc1,Tr,-6.52
A-129,dopamine,Oc1cc(ccc1O)CCN,Tr,-5.0300002
A-132,d-praeruptorin,O1c2c(c3OC(=O)C=Cc3cc2)[C@H](OC(=O)C)[C@H](OC(=O)\C(=C\C)\C)C1(C)C,Tr,-4.5799999
A-134,DUP 996,O=C1N(c2c(cccc2)C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,Tr,-4.6199999
A-137,echinacoside,O1[C@@H](C)[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O[C@H]1[C@H](OC(=O)\C=C\c2cc(O)c(O)cc2)[C@H](O[C@@H](OCCc2cc(O)c(O)cc2)[C@@H]1O)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Tr,-6.6500001
A-138,eetoposide,O1C[C@H]2[C@@H]([C@@H](c3c(cc4OCOc4c3)[C@H]2O[C@@H]2O[C@H]3[C@@H](O[C@@H](OC3)C)[C@H](O)[C@H]2O)c2cc(OC)c(O)c(OC)c2)C1=O,Tr,-6.1499996
A-139,EF5154,O(CC(O)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,Tr,-6.1199999
A-141,EF5170,O(CC(OCCCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,Tr,-5.79
A-145,EF5232,O(CC(OC(CCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,Tr,-5.29
A-146,EF5242,O(CC(OC(CCCCCC)C)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCNCC1,Tr,-4.7399998
A-147,EF5248,O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OCCCC)=O)cc3)CC2)=C(OC1=O)C,Tr,-4.3499999
A-148,EF5249,O1C(COC(=O)N2CCC(N3CC(=O)N(CC3)CC(=O)c3ccc(OCC(OC4CCCCC4)=O)cc3)CC2)=C(OC1=O)C,Tr,-4.3099999
A-149,EF5251,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,Tr,-4.2800002
A-150,EF5261,O1\C(\c2c(cccc2)C1=O)=C\COC(=O)N1CCC(N2CC(=O)N(CC2)CC(=O)c2ccc(OCC(OC3CCCCC3)=O)cc2)CC1,Tr,-4.4000001
A-151,EF5264,O1CCC(OC(=O)COc2ccc(cc2)C(=O)CN2CCN(CC2=O)C2CCN(CC2)C(OC(OC(=O)C)C)=O)CC1,Tr,-4.5100002
A-152,EF5265,O(CC(OC(COCC)COCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C)=O,Tr,-4.1500001
A-153,EF5270,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C)C(C)(C)C)=O,Tr,-4.02
A-154,EF5278,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C(C)(C)C)=O,Tr,-4
A-155,EF5283,O(CC(OCC)=O)c1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OC(OC(=O)C(C)(C)C)C)=O,Tr,-4.1399999
A-158,EF5292,O(C(=O)COc1ccc(cc1)C(=O)CN1CCN(CC1=O)C1CCN(CC1)C(OCOC(=O)C(C)(C)C)=O)C1CCCCC1,Tr,-4.4400001
A-159,elarofiban,OC(=O)C[C@H](NC(=O)[C@@H]1CCCN(C1)C(=O)CCC1CCNCC1)c1cccnc1,Tr,-6.21
A-16,5-chlorosalicylic acid,Clc1cc(C(O)=O)c(O)cc1,Tr,-4.98
A-161,ephedrine,OC(C(NC)C)c1ccccc1,Tr,-4.9699998
A-163,epicatechin-3-gallate,O1c2c(C[C@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,Tr,-6.8400002
A-164,epinephrine,Oc1cc(ccc1O)[C@@H](O)CNC,Tr,-6.125
A-165,eriodictyol ,O1c2c(C(=O)C[C@H]1c1cc(O)c(O)cc1)c(O)cc(O)c2,Tr,-5.2800002
A-167,erythromycin,O1[C@@H](CC)[C@@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@@](O)(C)[C@H](O[C@H]2O[C@@H](C[C@@H](N(C)C)[C@H]2O)C)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C2)C)[C@H](C)C1=O)C,Tr,-5.7800002
A-168,erythromycine,O1[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@@H](C[C@](O)(C)[C@H](O[C@@H]2O[C@@H](C[C@H](N(C)C)[C@H]2O)C)[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@](OC)(C2)C)[C@@H](C)C1=O)C,Tr,-5.4299998
A-169,estradiol,Oc1cc2CC[C@H]3[C@@H]4CC[C@H](O)[C@]4(CC[C@@H]3c2cc1)C,Tr,-4.73
A-172,famotidine,s1cc(nc1N=C(N)N)CSCCC(N)=NS(=O)(=O)N,Tr,-6.0700002
A-173,felodipine,Clc1c(cccc1Cl)C1C(C(OCC)=O)=C(NC(C)=C1C(OC)=O)C,Tr,-4.6399999
A-176,fexofenadine,OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,Tr,-6.5100002
A-177,fexofenadine hydrochloride,Cl.OC(C1CCN(CC1)CCCC(O)c1ccc(cc1)C(C(O)=O)(C)C)(c1ccccc1)c1ccccc1,Tr,-5.6999998
A-182,fluparoxan,Fc1c2O[C@@H]3[C@@H](Oc2ccc1)CNC3,Tr,-4.0999999
A-183,flurbiprofen,Fc1cc(ccc1-c1ccccc1)C(C(O)=O)C,Tr,-4.4699998
A-184,formononetin ,O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(OC)cc1,Tr,-4.5300002
A-185,formoterol,O(C)c1ccc(cc1)CC(NCC(O)c1cc(NC=O)c(O)cc1)C,Tr,-5.6300001
A-189,galangin ,O1c2c(C(=O)C(O)=C1c1ccccc1)c(O)cc(O)c2,Tr,-5.1100001
A-19,AACV,O(CCOCn1c2N=C(NC(c2nc1)=C)N)C(=O)[C@H](N)C,Tr,-5.6900001
A-191,genistein ,O1C=C(C(=O)c2c1cc(O)cc2O)c1ccc(O)cc1,Tr,-4.6500001
A-193,glycerol,OC(CO)CO,Tr,-4.8299999
A-195,glycine-valine acyclovir,Oc1ccc(cc1)C(NC(=O)CN)C(=O)C,Tr,-5.2800002
A-198,griseofulvin,Clc1c2O[C@]3([C@@H](CC(=O)C=C3OC)C)C(=O)c2c(OC)cc1OC,Tr,-4.4000001
A-199,guanabenz,Clc1cccc(Cl)c1\C=N\N=C(N)N,Tr,-4.6799998
A-2,"(2E)-N-(2-methylbutyl)dodeca-2-ene-8,10-diynamide",O=C(NCC(CC)C)\C=C\CCCCC#CC#CC,Tr,-4.23
A-208,hesperetin ,O1c2c(C(=O)C[C@H]1c1cc(O)c(OC)cc1)c(O)cc(O)c2,Tr,-4.7399998
A-209,hexapeptide 01,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,Tr,-5.8200002
A-211,hexapeptide 03,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-213,hexapeptide 05,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-214,hexapeptide 06,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-215,hexapeptide 07,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
A-216,hexapeptide 08,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-217,hexapeptide 09,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H]1C,Tr,-5.3000002
A-22,aceclofenac,Clc1cccc(Cl)c1Nc1ccccc1CC(OCC(O)=O)=O,Tr,-4.4099998
A-220,hexapeptide 12,O=C1N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H]1C,Tr,-5.8200002
A-221,hexapeptide 13,O=C1N(C)[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@@H]1C,Tr,-5.8200002
A-222,hexapeptide 14,O=C1N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-226,hexapeptide 18,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H]1C,Tr,-5.3000002
A-228,hexapeptide 20,O=C1N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H]1C,Tr,-5.8200002
A-23,acetaminophen,Oc1ccc(NC(=O)C)cc1,Tr,-4.4400001
A-230,hexapeptide 22,O=C1N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H]1C,Tr,-5.8200002
