Name,Structure,Class
12dichlorotetrafluoroethane (cryofluorane),[F]C([F])([Cl])C([F])([F])[Cl],1
2methylthiophencyclidine (gacyclidine),C[C@@]1([H])CCCC[C@@]1(N2CCCCC2)C=3[S]C=CC=3,1
7amphetaminoethyltheophylline (fenetylline),C[C@@]([H])(C/C1=C/C=CC=C1)NCCN2C=NC=3N(C)C(=O)N(C)C(=O)C2=3,1
acaprazine,CC(=O)NCCCN1CCN(CC1)C2=CC([Cl])=C/C=C2/[Cl],1
acebrochol,CC(C)([H])CCC[C@@](C)([H])[C@@]3([H])CC[C@@]4([H])[C@@]2([H])C[C@@]([Br])([H])[C@@]1([Br])C[C@@]([H])(CC[C@@]1(C)[C@@]2([H])CC[C@@]34C)OC(C)=O,1
acecarbromal,CCC([Br])(CC)C(=O)NC(=O)NC(C)=O,1
acefurtiamine,CC(=O)OCC(=O)OCCC([S]C(=O)C1=CC=CO1)=C(C)N(C/C2=C/N=C(/C)N=C2N)C=O,1
aceglutamide,CC(=O)N[C@@]([H])(CCC(N)=O)C(O)=O,1
aceperone,CC(=O)NC[C@@]2(CCN(CCCC(=O)C1=C/C=C(/[F])C=C1)CC2)C3=CC=CC=C3,1
acetaminosalol,CC(=O)N/C2=C/C=C(/OC(=O)C1=CC=C/C=C1/O)C=C2,1
acetazolamide,CC(=O)N/C1=N/N=C([S]1)[S](N)(=O)=O,1
acetiamine,CC(=O)OCCC([S]C(C)=O)=C(C)N(C/C1=C/N=C(/C)N=C1N)C=O,1
acetorphan (racecadotril and ecadotril),CC(=O)[S]C[C@@]([H])(C/C1=C/C=CC=C1)C(=O)NCC(=O)OC/C2=C/C=CC=C2,1
acetorphine,CCC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/OC(C)=O)C=CC=6C[C@@]2([H])N(C)CC[C@@]34C5=6,1
"acetylmethadol (levacetylmethadol, alphacetylmethadol, betacetylmethadol )",CC[C@@]([H])(OC(C)=O)C(C[C@@](C)([H])N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,1
acevaltrate,CC(C)([H])CC(=O)O[C@@]2([H])C=C1C(=CO[C@@]([H])(OC(=O)CC(C)(C)OC(C)=O)[C@@]1([H])[C@@]23CO3)COC(C)=O,1
acrocinonide,C[C@@]34C[C@@](O)([H])[C@@]1([F])[C@@]([H])(CCC2=CC(=O)C=C[C@@]12C)[C@@]3([H])C[C@@]5([H])O[C@@]([H])(O[C@@]45C(=O)CO)C=C,1
acyclovir (aciclovir),N/C2=N/C=1N(C=NC=1C(=O)N2)COCCO,1
adafenoxate,[Cl]/C4=C/C=C(/OCC(=O)OCCN[C@@]23CC1([H])C[C@@]([H])(C[C@@]([H])(C1)C2)C3)C=C4,1
adatanserin,O=C(NCCN1CCN(CC1)C2=NC=CC=N2)[C@@]45C[C@@]3([H])C[C@@]([H])(C[C@@]([H])(C3)C4)C5,1
alaproclate,C[C@@](N)([H])C(=O)OC(C)(C)C/C1=C/C=C(/[Cl])C=C1,1
alclometasone-dipropionate,CCC(=O)OCC(=O)[C@@]3(OC(=O)CC)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])[C@@]([Cl])([H])CC1=CC(=O)C=C[C@@]1(C)[C@@]2([H])[C@@](O)([H])C[C@@]34C,1
alentemol,CCCN(CCC)[C@@]1([H])CC2=CC=CC3=CC(O)=CC(C1)=C23,1
alfadolone,C[C@@]13CC[C@@](O)([H])C[C@@]1([H])CC[C@@]4([H])[C@@]2([H])CC[C@@]([H])(C(=O)CO)[C@@]2(C)CC(=O)[C@@]34[H],1
alfaxalone (renanolone),CC(=O)[C@@]3([H])CC[C@@]4([H])[C@@]2([H])CC[C@@]1([H])C[C@@](O)([H])CC[C@@]1(C)[C@@]2([H])C(=O)C[C@@]34C,1
alfentanil,CCC(=O)N(/C1=C/C=CC=C1)[C@@]3(CCN(CCN2N=NN(CC)C2=O)CC3)COC,1
algestone-acetonide,CC(=O)[C@@]14OC(C)(C)O[C@@]1([H])C[C@@]5([H])[C@@]3([H])CCC2=CC(=O)CC[C@@]2(C)[C@@]3([H])CC[C@@]45C,1
aliflurane,CO[C@@]1([F])C([F])([F])[C@@]1([F])[Cl],1
alletorphine,CCC[C@@](C)(O)[C@@]1([H])C[C@@]23C=C[C@@]1(OC)[C@@]4([H])O/C5=C(/O)C=CC=6C[C@@]2([H])N(CC[C@@]34C5=6)CC=C,1
allomethadione,C[C@@]1([H])OC(=O)N(CC=C)C1=O,1
almoxatone,CNC[C@@]1([H])CN(C(=O)O1)C3=C/C=C(/OC/C2=C/C=CC([Cl])=C2)C=C3,1
alnespirone,CO/C3=C/C=CC=4OC[C@@]([H])(CCCNCCCCN2C(=O)C[C@@]1(CCCC1)CC2=O)CC3=4,1
alonimid,O=C3CC[C@@]1(CCC(=O)C2=CC=CC=C12)C(=O)N3,1
aloracetam,CC(=O)NCCN1C(C)=CC(C=O)=C1C,1
alozafone,C[C@@]([H])(CC#N)N(C)CC(=O)N(C)C1=C/C=C(/[Cl])C=C1C(=O)C2=CC=C/C=C2/[F],1
alphameprodine (betameprodine),CC[C@@]1([H])CN(C)CC[C@@]1(OC(=O)CC)C2=CC=CC=C2,1
alphamethadol,CC[C@@](O)([H])C(C[C@@](C)([H])N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,1
alpiropride,CN[S](=O)(=O)C2=CC(C(=O)NC[C@@]1([H])CCCN1CC=C)=C(OC)C=C2N,1
alrestatin,OC(=O)CN1C(=O)C2=CC=CC3=CC=CC(C1=O)=C23,1
amcinafal,CCC5(CC)O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO,1
amcinafide,C[C@@]5(O[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(O5)C(=O)CO)C6=CC=CC=C6,1
amcinonide,CC(=O)OCC(=O)[C@@]25O[C@@]1(CCCC1)O[C@@]2([H])C[C@@]6([H])[C@@]4([H])CCC3=CC(=O)C=C[C@@]3(C)[C@@]4([F])[C@@](O)([H])C[C@@]56C,1
amelometasone,CCC(=O)O[C@@]3(C(=O)COC)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,1
ameltolide,C/C1=C/C=CC(C)=C1NC(=O)C2=C/C=C(/N)C=C2,1
amesergide,CC(C)([H])N2C=C3C[C@@]1([H])N(C)C[C@@]([H])(C[C@@]1([H])C4=CC=CC2=C34)C(=O)N[C@@]5([H])CCCCC5,1
amfetaminil,C[C@@]([H])(C/C1=C/C=CC=C1)N[C@@]([H])(C#N)C2=CC=CC=C2,1
amineptine,OC(=O)CCCCCCN[C@@]2([H])C1=CC=CC=C1CCC3=CC=CC=C23,1
amisulpride,CCN1CCC[C@@]1([H])CNC(=O)C2=C/C(=C(/N)C=C2OC)[S](=O)(=O)CC,1
amitriptylinoxide,CN(C)(=O)CC/C=C2/C1=CC=CC=C1CCC3=CC=CC=C23,1
amixetrine,CC(C)([H])CCO[C@@]([H])(CN1CCCC1)C2=CC=CC=C2,1
amperozide,CCNC(=O)N3CCN(CCCC([H])(C1=C/C=C(/[F])C=C1)C2=C/C=C(/[F])C=C2)CC3,1
amphenidone,N/C1=C/C=CC(=C1)N2C=CC=CC2=O,1
amphetamine,C[C@@](N)([H])C/C1=C/C=CC=C1,1
ampyzine,CN(C)C1=CN=CC=N1,1
amylene-hydrate,CCC(C)(C)O,1
anileridine,CCOC(=O)[C@@]2(CCN(CC/C1=C/C=C(/N)C=C1)CC2)C3=CC=CC=C3,1
aniracetam,CO/C1=C/C=C(C=C1)C(=O)N2CCCC2=O,1
anseculin,CO/C2=C/C=1OC(=O)C(C)=C(C)C=1/C=C2/OCCCN3CCN(CC3)C4=CC=C/C=C4/OC,1
apadoline,CCCNC(=O)C4=CC=C3[S]C1=CC=CC=C1N(CCN2CCCC2)C3=C4,1
apomorphine,CN2CCC1=CC=CC3=C1[C@@]2([H])CC4=C/C=C(/O)C(O)=C34,1
aprobarbital,CC(C)([H])C1(CC=C)C(=O)NC(=O)NC1=O,1
aripiprazole,[Cl]/C4=C/C=CC(N3CCN(CCCCO/C2=C/C=C1CCC(=O)NC1=C2)CC3)=C4[Cl],1
ascorbic-acid,OC[C@@](O)([H])[C@@]1([H])OC(=O)C(O)=C1O,1
aspirin,CC(=O)O/C1=C/C=C/C=C1/C(O)=O,1
atolide,CCN(CC)C2=C/C=C(/NC(=O)C1=CC=C/C=C1/N)C(C)=C2,1
atromepine,CN1[C@@]2([H])CC[C@@]1([H])C[C@@]([H])(C2)OC(=O)[C@@](C)(CO)C3=CC=CC=C3,1
atropine-oxide,CN1(=O)[C@@]2([H])CC[C@@]1([H])C[C@@]([H])(C2)OC(=O)[C@@]([H])(CO)C3=CC=CC=C3,1
avizafone,CN(C(=O)CNC(=O)[C@@](N)([H])CCCCN)C1=C/C=C(/[Cl])C=C1C(=O)C2=CC=CC=C2,1
axamozide,[Cl]/C2=C/C=C1N(C(=O)NC1=C2)[C@@]3([H])CCN(CC3)C[C@@]5([H])COC4=CC=CC=C4O5,1
azabon,N/C1=C/C=C(C=C1)[S](=O)(=O)N3CC2([H])CCC([H])(CC2)C3,1
azabuperone,[F]/C1=C/C=C(C=C1)C(=O)CCCN3CCN2CCC[C@@]2([H])C3,1
azacyclonol,OC(/C1=C/C=CC=C1)(C2=CC=CC=C2)C3([H])CCNCC3,1
azaloxan,O=C1NCCN1[C@@]4([H])CCN(CC[C@@]3([H])COC2=CC=CC=C2O3)CC4,1
azaperone,[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCN(CC2)C3=CC=CC=N3,1
azaquinzole,[H][C@@]13CNCCN1CCC2=CC=CC=C23,1
azepindole,C3CNCC2=CC1=CC=CC=C1N2C3,1
azipramine,CN(CC/C2=C/C3=CC=CC=4CCC1=CC=CC=C1N2C3=4)C/C5=C/C=CC=C5,1
balaperidone,[F]/C1=C/C=C(C=C1)[C@@]4([H])C[C@@]5([H])CN(CCN3C(=O)NC2=CC=CC=C2C3=O)C[C@@]45[H],1
bamifylline,CCN(CCO)CCN2C(C/C1=C/C=CC=C1)=NC=3N(C)C(=O)N(C)C(=O)C2=3,1
barbital,CCC1(CC)C(=O)NC(=O)NC1=O,1
batelapine,CN1CCN(CC1)C3=NC2=CC=CC=C2CC4=NC(C)=NN34,1
beclamide,[Cl]CCC(=O)NC/C1=C/C=CC=C1,1
beclomethasone (beclometasone),C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([Cl])[C@@](O)([H])C[C@@]3(C)[C@@]4(O)C(=O)CO,1
befloxatone,COC[C@@]1([H])CN(C(=O)O1)C2=C/C=C(/OCC[C@@](O)([H])C([F])([F])[F])C=C2,1
bemegride,CCC1(C)CC(=O)NC(=O)C1,1
benactyzine,CCN(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C2=CC=CC=C2,1
benfotiamine,CC(N(C/C1=C/N=C(/C)N=C1N)C=O)=C(CCO[P](O)(O)=O)[S]C(=O)C2=CC=CC=C2,1
benorilate,CC(=O)N/C2=C/C=C(/OC(=O)C1=CC=C/C=C1/OC(C)=O)C=C2,1
benperidol,[F]/C1=C/C=C(C=C1)C(=O)CCCN2CCC([H])(CC2)N3C(=O)NC4=CC=CC=C34,1
bentazepam,O=C2C/N=C(/C1=C/C=CC=C1)C3=C(N2)[S]C=4CCCCC3=4,1
bentiamine,CC(N(C/C1=C/N=C(/C)N=C1N)C=O)=C(CCOC(=O)C2=CC=CC=C2)[S]C(=O)C3=CC=CC=C3,1
benzaprinoxide,CN(C)(=O)CC/C=C2/C1=CC=CC=C1C=C/C3=C(/[Cl])C=CC=C23,1
benzindopyrine,C(C/C2=C/N(C/C1=C/C=CC=C1)C3=CC=CC=C23)C4=CC=NC=C4,1
benzquinamide,CCN(CC)C(=O)[C@@]3([H])CN2CCC1=CC(OC)=C(OC)C=C1[C@@]2([H])C[C@@]3([H])OC(C)=O,1
benztropine (benzatropine),CN1[C@@]2([H])CC[C@@]1([H])C[C@@]([H])(C2)OC([H])(C3=CC=CC=C3)C4=CC=CC=C4,1
benzyl-alcohol,OC/C1=C/C=CC=C1,1
berupipam,CN2CCC1=CC([Cl])=C(O)C=C1[C@@]([H])(C2)C3=CC([Br])=CC=4CCOC3=4,1
bervastatin,CCOC(=O)C[C@@](O)([H])C[C@@](O)([H])C=C/C3=C(/C1=C/C=C(/[F])C=C1)C2=CC=CC=C2O[C@@]34CCCC4,1
betamethasone-acibutate,CC(C)([H])C(=O)O[C@@]3(C(=O)COC(C)=O)[C@@](C)([H])C[C@@]4([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]34C,1
betamethasone-benzoate,C[C@@]4([H])C[C@@]3([H])[C@@]2([H])CCC1=CC(=O)C=C[C@@]1(C)[C@@]2([F])[C@@](O)([H])C[C@@]3(C)[C@@]4(OC(=O)C5=CC=CC=C5)C(=O)CO,1
binospirone,O=C2C[C@@]1(CCCC1)CC(=O)N2CCNC[C@@]4([H])COC3=CC=CC=C3O4,1
biotin,OC(=O)CCCC[C@@]1([H])[S]C[C@@]2([H])NC(=O)N[C@@]12[H],1
