, Name , t1/2(hour) ,SMILES
0, TRIPTORELIN , 3 ,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
1, HISTAMINE , 0.18 ,NCCC1=CNC=N1
2, BUTABARBITAL , 100 ,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
3, THEOPHYLLINE , 8.7 ,CN1C2=C(NC=N2)C(=O)N(C)C1=O
4, SULFADIAZINE , 7 ,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1
5, MEPERIDINE , 7.9 ,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
6, HYDROCODONE , 16 ,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O
7, ESTRADIOL , 1.7 ,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
8, TUBOCURARINE , 2 ,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3
9, SULFACETAMIDE , 10 ,CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
10, DIPHENHYDRAMINE , 9.3 ,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1
11, SILODOSIN , 13.3 ,C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F
12, TRIPELENNAMINE , 4.4 ,CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1
13, DIHYDROERGOTAMINE , 9 ,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O
14, CHLOROQUINE , 570 ,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12
15, MEPHENYTOIN , 77 ,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1
16, MOMETASONE FUROATE , 5.8 ,[H][C@@]12C[C@@H](C)[C@](OC(=O)C3=CC=CO3)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C
17, PYRIDOXINE , 0.5 ,CC1=C(O)C(CO)=C(CO)C=N1
18, METHADONE , 31 ,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
19, PROPYLTHIOURACIL , 1.3 ,CCCC1=CC(=O)NC(=S)N1
20, SULFAMERAZINE , 20.3 ,CC1=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC=C1
21, DOXYLAMINE , 12.5 ,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1
22, AMODIAQUINE , 12.4 ,CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1
23, DIETHYLCARBAMAZINE , 11.4 ,CCN(CC)C(=O)N1CCN(C)CC1
24, LIDOCAINE , 1.75 ,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
25, EPINEPHRINE , 0.05 ,CNC[C@H](O)C1=CC(O)=C(O)C=C1
26, SULFISOXAZOLE , 6.2 ,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C
27, CAFFEINE , 5 ,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
28, ERGOTAMINE , 2.25 ,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O
29, METOCURINE , 6 ,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3
30, METHOXAMINE , 6.15 ,COC1=CC(C(O)C(C)N)=C(OC)C=C1
31, TRIHEXYPHENIDYL , 3.7 ,OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1
32, AMINOSALICYLIC ACID , 3.25 ,NC1=CC(O)=C(C=C1)C(O)=O
33, CHLORPHENIRAMINE , 24 ,CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
34, DEXCHLORPHENIRAMINE , 24 ,CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1
35, SULFASALAZINE , 7.6 ,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1
36, PROCAINAMIDE , 3.1 ,CCN(CC)CCNC(=O)C1=CC=C(N)C=C1
37, OXYCODONE , 4.5 ,COC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5C
38, SECOBARBITAL , 28 ,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
39, DICYCLOMINE , 1.8 ,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
40, METHIMAZOLE , 5.4 ,CN1C=CNC1=S
41, QUINIDINE , 7 ,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
42, THIAMYLAL , 9.3 ,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
43, THIAMYLAL , 12 ,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
44, DYPHYLLINE , 2 ,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O
45, PROBENECID , 5.9 ,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
46, PROMETHAZINE , 14 ,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C
47, PHENYLEPHRINE , 1.35 ,CNC[C@H](O)C1=CC(O)=CC=C1
48, EDROPHONIUM , 1.8 ,CC[N+](C)(C)C1=CC(O)=CC=C1
49, METHOTREXATE , 7.5 ,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
50, LEUCOVORIN , 1.3 ,[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
51, DIPHEMANIL , 8.35 ,C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1
52, HYDROCORTISONE , 1.6 ,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
53, HYDRALAZINE , 1 ,NNC1=NN=CC2=CC=CC=C12
54, CODEINE , 2.9 ,[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC
55, PHENYLBUTAZONE , 79 ,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1
56, ISONIAZID , 2.8 ,NNC(=O)C1=CC=NC=C1
57, SUCCINYLCHOLINE , 0.07 ,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
