nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT01187615,terminated,,0,phase 1,['small cell lung carcinoma'],"[""['D02.20', 'D02.21', 'D02.22']""]","['regorafenib (bay73-4506) - sequential / cisplatin / pemetrexed', 'regorafenib (bay73-4506) - continuous / cisplatin / pemetrexed']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', '[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1']","
        Inclusion Criteria:

          -  Age >= 18 years.

          -  Histological or cytological diagnosis of metastatic Stage IV or locally advanced,
             unresectable confirmed Stage IIIB nonsquamous Non-Small Cell Lung Cancer (NSCLC) not
             amenable to local therapy with curative intent.

          -  Eastern Cooperative Oncology Group (ECOG) Performance Status of 0 - 2

          -  Life expectancy of at least 12 weeks.

          -  Adequate bone marrow, liver, and renal function

          -  Controlled blood pressure [defined as systolic Blood Pressure (BP) <=150 mmHg and
             diastolic Blood Pressure (BP) <= 90 mmHg]

          -  Men and women of childbearing potential enrolled in this study must use adequate
             barrier birth control measures during the course of the study

        Exclusion Criteria:

          -  Sensory neuropathy with sensory alterations or paresthesia (including tingling),
             interfering with function

          -  Hearing impairment

          -  Persistent proteinuria of Common Toxicity Criteria (CTC) Grade 3 or higher

          -  Cardiac disease: congestive heart failure > New York Heart Association (NYHA) Class
             II; patients must not have unstable angina (anginal symptoms at rest) or new-onset
             angina (began within the last 3 months) or myocardial infarction within the past 6
             months; cardiac ventricular arrhythmias requiring anti-arrhythmic therapy

          -  Brain metastasis: patients with neurological symptoms should undergo a Computerized
             Tomography (CT) scan / Magnetic Resonance Imaging (MRI) of the brain to exclude any
             new or progressive brain metastasis. Patients with brain metastases are excluded from
             the trial

          -  Arterial or venous thrombotic or embolic events such as cerebrovascular accident
             (including transient ischemic attacks), deep vein thrombosis or pulmonary embolism
             within the 6 months before start of study medication

          -  Pulmonary hemorrhage/bleeding event > Common Terminology Criteria for Adverse Events
             (CTCAE) Grade 2 within 4 weeks prior to the start of study treatment. Clinically
             significant hemoptysis (1 teaspoon or more) in the past 3 months

          -  Any other hemorrhage/bleeding event > CTCAE Grade 3 within 4 weeks prior to the start
             of study treatment

          -  Evidence or history of bleeding diathesis or coagulopathy

          -  Centrally located tumors with radiologic evidence (CT or MRI) of local invasion of
             major blood vessels

          -  The effect of third space fluid, such as pleural effusion and ascites, on pemetrexed
             is unknown. In patients with clinically significant third space fluid, consideration
             should be given to draining the effusion prior to study start

          -  Patients with phaeochromocytoma Excluded Therapies and Medications, Previous and
             Concomitant

          -  Prior treatment with a systemic chemotherapy for metastatic NSCLC. Patients who
             underwent prior systemic treatment or radiotherapy for NSCLC in a neoadjuvant or
             adjuvant setting are eligible, but no chemotherapy treatment within the last 6 month
             prior to study entry is allowed
      "
NCT01046487,completed,,1,phase 1,['cancer'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]","['imatinib mesylate, cyclophosphamide (dosing level 1 )', 'imatinib mesylate, cyclophosphamide (dosing level 2)', 'imatinib mesylate, cyclophosphamide (dosing level 3)']","['CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1', 'CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1', 'CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1']","
        Inclusion Criteria:

          -  Rare tumor

          -  metastatic disease or locally advanced disease, inoperable, with no standard treatment

          -  At least 28 days since the prior treatment

          -  Measurable disease with at least one measurable lesion

        Exclusion Criteria:

          -  Medullary insufficiency

          -  Cystitis, haemorrhagic cystitis

          -  Hepatic porphyria
      "
NCT01381887,completed,,1,phase 1,"['diabetes mellitus, type 2']","[""['E11.65', 'E11.9', 'E11.21', 'E11.36', 'E11.41', 'E11.42', 'E11.44']""]","['placebo', 'canagliflozin 300mg/placebo', 'canagliflozin 300mg/canagliflozin 150mg', 'canagliflozin 300mg']","['CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O', '[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1', '[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1', '[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1']","
        Inclusion Criteria:

          -  Patients with T2DM with inadequate glycemic control (based upon fasting glucose
             measurements >=130 mg/dL and <=250 mg/dL) on metformin monotherapy or on metformin in
             dual combination with other glucose lowering agents (sulphonylurea [SU] or a
             meglitinide or a dipeptidyl peptidase-4 [DPP-4] inhibitor) are eligible for enrollment
             in the study.

        Exclusion Criteria:

          -  History of diabetic ketoacidosis, type 1 diabetes mellitus (T1DM), pancreas or beta
             cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy

          -  history of a severe hypoglycemic episode within 6 months before screening

          -  Has repeated (ie, 2 or more over a 1-week period) fasting plasma glucose (FPG) and/or
             fasting self-monitored blood glucose (SMBG) measurements >=250 mg/dL (13.88 mmol/L)
             during the pre-treatment phase, despite reinforcement of diet and exercise counseling

          -  History of or current illness considered to be clinically significant by the
             investigator
      "
NCT02015676,completed,,1,phase 1/phase 2,['breast cancer'],"[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['trastuzumab', 'paclitaxel', 'myocet']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', '[H][C@@]1(C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@]3([H])C(=O)O2)OC)CC[C@@H](OCCO)[C@@H](C1)OC', 'COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O']","
        Inclusion Criteria:

          -  women 18-70 years of age;

          -  metastatic or locally advanced breast cancer;

          -  HER2 overexpression;

          -  >= 1 measurable lesion.

        Exclusion Criteria:

          -  prior treatment for advanced breast cancer;

          -  prior treatment with Herceptin;

          -  bone or central nervous system metastasis as the only site of disease;

          -  history of another malignancy (except basal cell skin cancer and cancer in situ of the
             uterine cervix, and contralateral breast cancer) within 5 years of study.
      "
NCT01813955,terminated,"
    patient recruitment insufficient
  ",0,early phase 1,"['schizophrenia', 'cognitive deficits']","[""['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']"", ""['R41.841', 'R41.81', 'G31.84', 'I69.315', 'I69.015', 'I69.115', 'I69.815']""]",['papaverine or placebo'],['COC1=C(OC)C=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1'],"
        Inclusion Criteria:

          -  Diagnosed Schizophrenia (WHO ICD 10)

          -  Treatment stable (no regulation in medicine for 6 weeks prior)

          -  Mono antipsychotic treatment

          -  No regular Antidepressants (PN accepted)

          -  No regular Benzodiazepines (PN accepted)

        Exclusion Criteria:

          -  Dependence syndrome

          -  Severe physical illness

          -  MRI incompatible, non removable objects above shoulders
      "
NCT01213160,completed,,0,phase 1,"['cancer', 'advanced solid malignancies']","[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]",['azd4547'],['COC1=CC(OC)=CC(CCC2=CC(NC(=O)C3=CC=C(C=C3)N3C[C@H](C)N[C@H](C)C3)=NN2)=C1'],"
        Inclusion Criteria:

        - Japanese patients with advanced solid malignancies Over 25 years old Relatively good
        overall health other than cancer

        Exclusion Criteria:

        - Poor bone marrow function (not producing enough blood cells). Poor liver or kidney
        function. Refractory nausea and vomiting, chronic gastrointestinal diseases, inability to
        swallow the IP or previous significant bowel resection.
      "
NCT00722293,completed,,1,phase 1,"['neoplasms, breast']","[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['doxorubicin', 'pazopanib (gw786034)', 'epirubicin']","['COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O', 'CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1', 'CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=CC=NC(NC2=CC=C(C)C(=C2)S(N)(=O)=O)=N1']","
        Inclusion Criteria:

          -  Patients must provide written informed consent prior to performance of study specific
             procedures or assessments, and must be willing to comply with treatment and follow up

          -  Histologically or cytologically confirmed diagnosis of advanced solid tumor that has
             failed standard therapy or for which there is no standard therapy and is indicated for
             treatment with anthracyclines.

          -  Age greater than or equal to 18 years.

          -  Adequate organ system function as defined by the protocol.

          -  ECOG performance value of 0 or 1.

          -  Less than or equal to one prior line of chemotherapy for advanced disease. Patients
             with metastatic disease to the brain should have definitive therapy for their brain
             metastases, should be asymptomatic. (Patients with previously treated brain metastases
             who are asymptomatic, off steroids and anti-seizure medications for greater than 3
             months are eligible for the study).

          -  There must be measurable disease or evaluable disease for subjects to be included in
             the cohort expansion phase. Measurable disease is not a criterion for subjects
             enrolling in the dose escalation phase.

          -  Has a left ventricular ejection fraction (LVEF) greater than or equal to 50% or
             greater than or equal to the institution's LLN.

          -  Women of childbearing potential must have a negative pregnancy test within 2 weeks of
             starting study drug and use acceptable birth control methods as outlined in the
             protocol.

          -  Women may participate if they are of non childbearing potential (bilateral tubal
             ligation, hysterectomy, post menopausal or bilateral ovariectomy.

          -  Males with female partners of childbearing potential may participate if they practice
             acceptable methods of birth control as outlined in the study protocol.

          -  Able to swallow and retain oral medications.

          -  Less than or equal to one prior line of chemotherapy for advanced disease.

          -  Life expectancy of at least 12 weeks.

        Exclusion Criteria:

          -  Prior use of pazopanib or prior treatment with anthracyclines. Prior therapy with
             other angiogenesis inhibitors is permitted.

          -  Clinically significant gastrointestinal abnormalities which might interfere with oral
             dosing.

          -  Any unstable or serious concurrent condition (e.g., active infection requiring
             systemic therapy).

          -  QTc > 480 msecs.

          -  History of any one or more of the following cardiovascular conditions within the past
             6 months:

               -  Cardiac angioplasty or stenting

               -  Myocardial infarction

               -  Unstable angina

               -  Symptomatic peripheral vascular disease

               -  Class III or IV congestive heart failure

          -  Any major surgery or trauma within the last 28 days and or presence of non-healing
             wound, fracture, or ulcer.

          -  Any unstable or serious concurrent condition.

          -  Poorly controlled hypertension [defined as systolic blood pressure (SBP) of =140mmHg
             or diastolic blood pressure (DBP) of = 90mmHg].

          -  History of cerebrovascular accident (CVA), pulmonary embolism or untreated deep venous
             thrombosis (DVT) within the past 6 months. Subjects with a recent DVT who have been
             treated with therapeutic agents (excluding therapeutic warfarin) for at least 6 weeks
             are eligible.

          -  Prior major surgery or trauma within 28 days prior to first dose of study drug and /or
             presence of any non-healing wound, fracture, or ulcer.

          -  Hemoptysis within 6 weeks prior to first dose of study drug.

          -  Any serious and/or unstable pre-existing medical, psychiatric, or other condition that
             could interfere with patient's safety, provision of informed consent, or compliance to
             study procedures.

          -  Is unable or unwilling to discontinue prohibited medications for 14 days or five
             half-lives of a drug prior to Visit 1 and for the duration of the study.

          -  Use of an investigational agent, including an investigational anti-cancer agent,
             within 28 days or 5 half-lives, whichever is longer, prior to the first dose of study
             drug.

          -  Is now undergoing and/or has undergone within 28 days immediately prior to first dose
             of study drug, any cancer therapy (major surgery, investigational agent, tumor
             embolization, chemotherapy, radiation therapy, immunotherapy, biological therapy, or
             hormonal therapy).

          -  Clinically assessed as having inadequate venous access for PK sampling.

          -  Lactating and pregnant women should discontinue lactation prior to first use of study
             drug and refrain from nursing throughout the treatment period and for 14 days after
             final dose.
      "
NCT00451880,completed,,1,phase 1,"['cancer', 'non-small-cell lung cancer', 'colorectal cancer', 'papillary thyroid cancer', 'melanoma']","[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']"", ""['C78.00', 'C78.01', 'C78.02', 'D14.30', 'D14.31', 'D14.32', 'C34.2']"", ""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']"", ""['C43.0', 'C43.31', 'D03.9', 'C43.51', 'C43.9', 'D03.0', 'C43.4']""]","['xl281', 'famotidine']",['NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1'],"
        Key Inclusion Criteria:

          -  The subject has a histologically confirmed solid tumor that is metastatic or
             unresectable, and for which standard curative or palliative measures do not exist or
             are no longer effective, and there are no therapies known to prolong survival.
             Subjects treated at the MTD (once- or twice- daily) must have a diagnosis of
             colorectal cancer, non-small-cell lung cancer (no longer recruiting), melanoma, or
             papillary thyroid cancer. Certain other eligibility requirements must also be met.

          -  The subject is ≥18 years old.

          -  The subject has an Eastern Cooperative Oncology Group (ECOG) performance status ≤2.

          -  The subject has adequate organ and marrow function.

          -  The subject is capable of understanding the protocol and has signed the informed
             consent document.

          -  Sexually active subjects (male and female) must use medically acceptable methods of
             contraception during the course of the study and for 3 months after study drug
             discontinuation.

          -  Female subjects of childbearing potential must have a negative pregnancy test at
             screening.

          -  The subject has had no other diagnosis of malignancy (unless non-melanoma skin cancer,
             carcinoma in situ of the cervix, or a malignancy diagnosed ≥5 years ago, and has had
             no evidence of disease for 5 years prior to screening for this study).

          -  The subject must meet certain other eligibility requirements.

        Key Exclusion Criteria:

          -  The subject has received anticancer treatment (eg, chemotherapy, radiotherapy,
             cytokines, or hormones) within 28 days (6 weeks for nitrosoureas or mitomycin C)
             before the first dose of study drug.

          -  The subject has received treatment with a small molecule kinase inhibitor or a
             hormonal therapy (including investigational kinase inhibitors or hormones) within a
             certain amount of time before the first dose of study drug.

          -  The subject has received any other investigational agent within 28 days of first dose
             of XL281.

          -  The subject has not recovered to Grade ≤1 from adverse events (AEs) or to within 10%
             of baseline values due to investigational or other agents administered more than 30
             days prior to study enrollment. Some irreversible toxicities from previous treatment
             may be allowed.

          -  The subject requires treatment with antacids (continual treatment), proton pump
             inhibitors, or H2 receptor antagonists.

          -  The subject has a primary brain tumor or known brain metastases.

          -  The subject has an uncontrolled intercurrent illness including, but not limited to,
             ongoing or active infection, symptomatic congestive heart failure, unstable angina
             pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would
             limit compliance with study requirements.

          -  The subject is pregnant or breastfeeding.

          -  The subject is known to be positive for the human immunodeficiency virus (HIV).

          -  The subject has an allergy or hypersensitivity to components of the XL281 formulation
             or to famotidine.

          -  The subject is unable or unwilling to abide by the study protocol or cooperate fully
             with the investigator or designee.

          -  The subject is receiving anticoagulation with warfarin or coumarin-related compounds
             (low-dose warfarin ≤ 1 mg/day, heparin, and low-molecular weight heparin are
             permitted)

          -  The subject must meet certain other eligibility requirements.
      "
NCT00096304,terminated,"
    low accrual
  ",0,phase 1,['prostate cancer'],"[""['C61', 'D29.1', 'D40.0', 'Z15.03', 'Z80.42', 'Z85.46', 'Z12.5']""]","['docetaxel', 'epirubicin hydrochloride']","['[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1', 'COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O']","
        DISEASE CHARACTERISTICS:

          -  Histologically confirmed adenocarcinoma of the prostate

          -  Meets 1 of the following criteria:

               -  Measurable disease with any prostate-specific antigen (PSA) value

                    -  Unidimensionally measurable lesion ≥ 20 mm by conventional techniques OR ≥
                       10 mm by spiral CT scan

                    -  Histologic confirmation required if measurable disease is confined to a
                       solitary lesion

               -  Non-measurable disease with PSA ≥ 5 ng/mL*

                    -  The following are considered non-measurable disease:

                         -  Bone lesions

                         -  Pleural or pericardial effusion

                         -  Ascites

                         -  CNS lesions

                         -  Leptomeningeal disease

                         -  Irradiated lesions unless disease progression was documented after
                            prior radiotherapy NOTE: *Patients with PSA ≥ 5 ng/mL only are not
                            eligible

          -  Progressive systemic disease despite ≥ 1 prior standard endocrine therapy with
             orchiectomy, luteinizing hormone-releasing hormone (LHRH) agonist, or
             diethylstilbestrol, as indicated by 1 of the following criteria:

               -  Objective evidence of increase > 20% in the sum of the longest diameters of
                  target lesions from the time of maximal regression OR the appearance of 1 or more
                  new lesions

               -  One or more new lesions on bone scan secondary to prostate cancer AND PSA ≥ 5
                  ng/mL

               -  Elevated PSA (≥ 5 ng/mL) with 2 consecutive increases from baseline (taken ≥ 1
                  week apart)

          -  Serum testosterone ≤ 50 ng/dL for patients without bilateral orchiectomy

               -  Patients who have not had a bilateral orchiectomy should continue therapy with
                  primary testicular androgen suppression (e.g., LHRH analogues)

        PATIENT CHARACTERISTICS:

        Age

          -  18 and over

        Performance status

          -  ECOG 0-2

        Life expectancy

          -  Not specified

        Hematopoietic

          -  Granulocyte count ≥ 1,500/mm^3

          -  Platelet count ≥ 100,000/mm^3

        Hepatic

          -  Meets 1 of the following criteria:

               -  AST or ALT normal AND alkaline phosphatase ≤ 5 times upper limit of normal (ULN)

               -  AST or ALT ≤ 1.5 times ULN AND alkaline phosphatase ≤ 2.5 times ULN

               -  AST or ALT ≤ 5 times ULN AND alkaline phosphatase normal

          -  Bilirubin normal

        Renal

          -  Creatinine ≤ 1.5 times ULN

        Cardiovascular

          -  No uncontrolled high blood pressure

          -  No unstable angina

          -  No symptomatic congestive heart failure

          -  No myocardial infarction within the past 6 months

          -  No serious uncontrolled cardiac arrhythmia

          -  No New York Heart Association class III or IV heart disease

        Other

          -  Fertile patients must use effective contraception during and for at least 3 months
             after study participation

          -  No peripheral neuropathy ≥ grade 2

          -  No prior severe hypersensitivity reaction to docetaxel or other drug formulated with
             polysorbate 80

        PRIOR CONCURRENT THERAPY:

        Biologic therapy

          -  No concurrent filgrastim (G-CSF) or sargramostim (GM-CSF)

        Chemotherapy

          -  No prior chemotherapy, including estramustine or suramin for prostate cancer

          -  No other concurrent chemotherapy

        Endocrine therapy

          -  See Disease Characteristics

          -  At least 4 weeks since prior antiandrogen therapy

          -  No concurrent hormonal therapy except steroids for adrenal insufficiency, hormones for
             non-disease-related conditions (e.g., insulin for diabetes), or intermittent
             dexamethasone as an antiemetic

        Radiotherapy

          -  See Disease Characteristics

          -  At least 4 weeks since prior radiotherapy

          -  At least 8 weeks since prior strontium chloride Sr 89 or samarium Sm 153 lexidronam
             pentasodium

          -  No concurrent palliative radiotherapy

        Surgery

          -  See Disease Characteristics

          -  At least 4 weeks since prior surgery and recovered
      "
NCT00129896,completed,,1,phase 1/phase 2,['breast cancer'],"[""['C79.81', 'D24.1', 'D24.2', 'D24.9', 'D49.3', 'C44.501', 'D48.60']""]","['myocet', 'taxotere', 'herceptin']","['COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O', '[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H]']","
        Inclusion Criteria:

          -  Written informed consent.

          -  Breast cancer stages II and IIIA with histological diagnoses by true-cut.

          -  Breast cancer tumours overexpressing HER2neu, centrally confirmed by FISH.

          -  No evidence of metastasis: bilateral mammography, thorax x-ray, computed tomography
             (CT)-scan or abdominal echography and bone scintigraphy.

          -  Estrogen and progesterone hormone receptor status, determined before study
             registration.

          -  Age >= 18 years old.

          -  Performance status (Karnofsky index) >= 80.

          -  Adequate cardiac function by LVEF in the previous 14 days.

          -  Hematology: neutrophils >= 2.0 x10^9/l; platelets >= 100 x10^9/l; hemoglobin >= 10
             g/dl.

          -  Adequate hepatic function: total bilirubin <= 1x upper normal limit (UNL); SGOT and
             SGPT <= 2.5xUNL; alkaline phosphatase <= 2.5xUNL.

          -  Adequate renal function: creatinine <= 1xUNL; creatinine clearance >= 60 ml/min.

          -  Patients able to comply with study treatment and follow-up.

          -  Negative pregnancy test in the previous 14 days.

          -  Adequate contraceptive method during the study and up to 3 months after definitive
             surgery.

        Exclusion Criteria:

          -  HER2neu negative tumours.

          -  Prior systemic therapy for breast cancer.

          -  Prior treatment with anthracyclines or taxanes (paclitaxel, docetaxel) for any
             previous malignancy.

          -  Prior radiotherapy for breast cancer.

          -  Bilateral invasive breast cancer.

          -  Pregnant or lactating women.

          -  Previous grade >= 2 motor or sensorial neurotoxicity (National Cancer Institute Common
             Toxicity Criteria [NCI CTC]).

          -  Other serious comorbidities: congestive heart failure or unstable angina; prior
             history of myocardial infarction in previous year; uncontrolled hypertension (HT);
             high risk arrhythmias; history of significant neurological or psychiatric disorders;
             uncontrolled active infection; active peptic ulcer; unstable diabetes mellitus;
             dyspnea at rest; or chronic therapy with oxygen.

          -  Previous or current history of neoplasms different from breast cancer, except for skin
             carcinoma, cervical in situ carcinoma, or any other tumor curatively treated and
             without recurrence in the last 10 years; ductal in situ carcinoma in the same breast;
             lobular in situ carcinoma.

          -  Chronic treatment with corticosteroids.

          -  Contraindications for administration of corticosteroids, anthracyclines, docetaxel,
             trastuzumab or egg derivates.

          -  Concomitant treatment with other therapy for cancer.

          -  Males.
      "
