sponsor,approval_rate,total
GlaxoSmithKline,0.4866039102099928,1381
Novartis Pharmaceuticals,0.41144901610017887,1118
Pfizer,0.372210953346856,986
Hoffmann-La Roche,0.363914373088685,981
AstraZeneca,0.4597826086956522,920
Merck Sharp & Dohme LLC,0.4402035623409669,786
National Cancer Institute (NCI),0.17079530638852672,767
Eli Lilly and Company,0.4005235602094241,764
Boehringer Ingelheim,0.5837479270315091,603
Sanofi,0.4290484140233723,599
M.D. Anderson Cancer Center,0.20833333333333334,504
Bayer,0.4733606557377049,488
Bristol-Myers Squibb,0.38596491228070173,456
Gilead Sciences,0.48476454293628807,361
Novo Nordisk A/S,0.6925287356321839,348
Takeda,0.48546511627906974,344
Amgen,0.4939759036144578,332
Novartis,0.44761904761904764,315
National Institute of Allergy and Infectious Diseases (NIAID),0.21843003412969283,293
"Janssen Research & Development, LLC",0.436,250
Astellas Pharma Inc,0.5102040816326531,245
Allergan,0.4206008583690987,233
Massachusetts General Hospital,0.22510822510822512,231
AbbVie,0.43119266055045874,218
"Genentech, Inc.",0.4166666666666667,216
Organon and Co,0.5700483091787439,207
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,0.46236559139784944,186
"AbbVie (prior sponsor, Abbott)",0.5028248587570622,177
Mayo Clinic,0.21839080459770116,174
Biogen,0.3,170
Memorial Sloan Kettering Cancer Center,0.3609467455621302,169
Duke University,0.19161676646706588,167
"Sanofi Pasteur, a Sanofi Company",0.4578313253012048,166
"Merck KGaA, Darmstadt, Germany",0.2716049382716049,162
Celgene,0.36942675159235666,157
Wyeth is now a wholly owned subsidiary of Pfizer,0.43790849673202614,153
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",0.46357615894039733,151
Dana-Farber Cancer Institute,0.3673469387755102,147
Eisai Inc.,0.4513888888888889,144
Abbott,0.3986013986013986,143
Alcon Research,0.39416058394160586,137
Emory University,0.19852941176470587,136
Alliance for Clinical Trials in Oncology,0.2706766917293233,133
UCB Pharma,0.4696969696969697,132
Washington University School of Medicine,0.15447154471544716,123
