sponsor,count
GlaxoSmithKline,3017
National Cancer Institute (NCI),2826
Pfizer,2346
M.D. Anderson Cancer Center,2099
AstraZeneca,2095
Novartis Pharmaceuticals,2071
Mayo Clinic,1911
Cairo University,1835
National Institute of Allergy and Infectious Diseases (NIAID),1758
Massachusetts General Hospital,1725
Merck Sharp & Dohme LLC,1691
Boehringer Ingelheim,1689
Assistance Publique - Hôpitaux de Paris,1686
Eli Lilly and Company,1678
Hoffmann-La Roche,1575
"University of California, San Francisco",1404
Stanford University,1323
Duke University,1301
Sanofi,1267
Memorial Sloan Kettering Cancer Center,1253
Johns Hopkins University,1248
VA Office of Research and Development,1241
Washington University School of Medicine,1205
Yale University,1194
Seoul National University Hospital,1193
Assiut University,1132
University of Pennsylvania,1101
Bayer,1062
Bristol-Myers Squibb,1038
University of Washington,991
Emory University,951
University of Michigan,945
National Taiwan University Hospital,938
NYU Langone Health,928
Northwestern University,923
University of Alabama at Birmingham,917
"University Health Network, Toronto",889
"University of Colorado, Denver",884
University of Pittsburgh,873
"University of North Carolina, Chapel Hill",870
Sun Yat-sen University,865
University of British Columbia,851
Novo Nordisk A/S,850
Yonsei University,839
"University of California, Los Angeles",820
Wake Forest University Health Sciences,793
University of Aarhus,767
University of Florida,765
Hospices Civils de Lyon,763
University of Sao Paulo,760
Brigham and Women's Hospital,726
"Janssen Research & Development, LLC",722
Amgen,716
"University of Wisconsin, Madison",703
Dana-Farber Cancer Institute,696
University of Minnesota,685
Novartis,683
Columbia University,677
Ain Shams University,677
The University of Hong Kong,676
Takeda,653
Medical University of Vienna,629
Chinese University of Hong Kong,627
University of Texas Southwestern Medical Center,625
Karolinska Institutet,623
"University of California, San Diego",613
University of Chicago,595
Riphah International University,582
Radboud University Medical Center,578
Samsung Medical Center,572
University of Utah,571
Medical University of South Carolina,567
University of Zurich,567
Weill Medical College of Cornell University,562
Gilead Sciences,559
US Department of Veterans Affairs,556
Chang Gung Memorial Hospital,539
"The University of Texas Health Science Center, Houston",538
University of Alberta,535
Indiana University,534
The Cleveland Clinic,529
Baylor College of Medicine,526
University of Miami,520
"University of California, Davis",519
Alcon Research,517
"Rigshospitalet, Denmark",513
Fudan University,512
University of Southern California,511
Mansoura University,509
Maastricht University Medical Center,498
University of Oxford,489
McMaster University,484
Astellas Pharma Inc,478
University of Rochester,475
Assistance Publique Hopitaux De Marseille,474
Vanderbilt University Medical Center,471
Lawson Health Research Institute,470
Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,467
Oslo University Hospital,464
"University Hospital, Montpellier",461
University of Calgary,459
"Charite University, Berlin, Germany",457
"University of Maryland, Baltimore",454
AbbVie,450
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",445
"University Hospital, Toulouse",444
City of Hope Medical Center,436
Organon and Co,436
Virginia Commonwealth University,435
Universitaire Ziekenhuizen Leuven,434
"University Hospital, Clermont-Ferrand",432
Hadassah Medical Organization,431
University of Virginia,430
Fred Hutchinson Cancer Center,428
Icahn School of Medicine at Mount Sinai,426
Imperial College London,425
"University Hospital, Basel, Switzerland",422
Wyeth is now a wholly owned subsidiary of Pfizer,421
"Genentech, Inc.",420
Oregon Health and Science University,419
Allergan,419
Mahidol University,419
"National Heart, Lung, and Blood Institute (NHLBI)",416
Peking Union Medical College Hospital,414
Alliance for Clinical Trials in Oncology,405
"University Hospital, Ghent",403
University of Sao Paulo General Hospital,402
"Jiangsu HengRui Medicine Co., Ltd.",401
New York State Psychiatric Institute,399
"University Hospital, Grenoble",398
"Children's Hospital Medical Center, Cincinnati",390
"University Hospital, Bordeaux",390
H. Lee Moffitt Cancer Center and Research Institute,389
Sheba Medical Center,389
The Hospital for Sick Children,388
University of Manitoba,386
Sunnybrook Health Sciences Centre,380
Vanderbilt University,376
Beth Israel Deaconess Medical Center,374
Asan Medical Center,371
Nantes University Hospital,368
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,364
Case Comprehensive Cancer Center,363
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),356
Tel-Aviv Sourasky Medical Center,354
Federal University of São Paulo,354
Hospital de Clinicas de Porto Alegre,354
Ottawa Hospital Research Institute,351
Celgene,348
"University Hospital Inselspital, Berne",347
Centre Hospitalier Universitaire de Nice,345
Milton S. Hershey Medical Center,340
Roswell Park Cancer Institute,333
Norwegian University of Science and Technology,333
Eisai Inc.,330
University of Copenhagen,330
"University College, London",329
Medical College of Wisconsin,327
Boston Scientific Corporation,327
Dartmouth-Hitchcock Medical Center,320
Biogen,318
University of Illinois at Chicago,316
Boston Children's Hospital,315
Ohio State University,312
Shire,309
Children's Hospital of Philadelphia,307
European Organisation for Research and Treatment of Cancer - EORTC,306
National Institute on Drug Abuse (NIDA),302
University of Arizona,299
"Second Affiliated Hospital, School of Medicine, Zhejiang University",299
Jonsson Comprehensive Cancer Center,297
"Sanofi Pasteur, a Sanofi Company",292
Abbott Medical Devices,292
Hacettepe University,292
Abbott,291
The Hong Kong Polytechnic University,288
"Genzyme, a Sanofi Company",281
"Rutgers, The State University of New Jersey",281
Kaiser Permanente,281
University of Nebraska,280
The University of Texas Health Science Center at San Antonio,277
"University Hospital, Lille",276
Montefiore Medical Center,273
Rabin Medical Center,272
University of Kansas Medical Center,271
Unity Health Toronto,269
Cedars-Sinai Medical Center,269
University of Arkansas,267
Northwell Health,264
Southwest Oncology Group,264
University Medical Center Groningen,264
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),263
University of Toronto,263
University of Oklahoma,259
University Hospital Tuebingen,258
Rambam Health Care Campus,256
"University Hospital, Strasbourg, France",256
"National University Hospital, Singapore",256
Rush University Medical Center,254
Centre Hospitalier Universitaire de Saint Etienne,254
Centers for Disease Control and Prevention,253
McGill University Health Centre/Research Institute of the McGill University Health Centre,253
MedImmune LLC,252
Centre for Addiction and Mental Health,249
Abramson Cancer Center of the University of Pennsylvania,248
"University of California, Irvine",248
Johns Hopkins Bloomberg School of Public Health,243
Boston Medical Center,242
Children's Oncology Group,241
Laval University,239
University of Missouri-Columbia,239
London School of Hygiene and Tropical Medicine,238
King's College London,237
"University Hospital, Caen",236
Chinese Academy of Medical Sciences,235
Ohio State University Comprehensive Cancer Center,234
Regeneron Pharmaceuticals,233
Chong Kun Dang Pharmaceutical,232
"Daiichi Sankyo, Inc.",231
Rennes University Hospital,230
"Masonic Cancer Center, University of Minnesota",229
Odense University Hospital,229
University of Nottingham,229
Centre hospitalier de l'Université de Montréal (CHUM),228
"Centre Hospitalier Universitaire, Amiens",227
Tanta University,225
Thomas Jefferson University,224
UNC Lineberger Comprehensive Cancer Center,224
Chinese PLA General Hospital,224
University of Michigan Rogel Cancer Center,223
UCB Pharma,223
Nestlé,223
Dr. Reddy's Laboratories Limited,219
"University Hospital, Rouen",218
Cliniques universitaires Saint-Luc- Université Catholique de Louvain,218
Centre Hospitalier Universitaire de Besancon,218
"Central Hospital, Nancy, France",217
Brown University,216
Queen's University,216
Medical University of Graz,216
"University Hospital, Angers",213
Shanghai Zhongshan Hospital,213
Georgetown University,211
China Medical University Hospital,211
Loma Linda University,211
Seoul National University Bundang Hospital,211
National Institute of Neurological Disorders and Stroke (NINDS),210
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),210
University of Texas at Austin,210
University of Roma La Sapienza,210
University of Cincinnati,209
"Otsuka Pharmaceutical Development & Commercialization, Inc.",209
St. Jude Children's Research Hospital,208
University of Louisville,207
Peking University People's Hospital,204
Indonesia University,204
H. Lundbeck A/S,202
Peking University,202
Hospital Clinic of Barcelona,201
Tehran University of Medical Sciences,201
ViiV Healthcare,200
Shanghai Jiao Tong University School of Medicine,200
University of South Florida,199
Centre Hospitalier Universitaire de Nīmes,199
Uppsala University,199
University of New Mexico,198
Universitätsklinikum Hamburg-Eppendorf,198
National Center for Complementary and Integrative Health (NCCIH),197
Universitair Ziekenhuis Brussel,196
University of Edinburgh,195
Istanbul University,195
"Bausch Health Americas, Inc.",194
"University Hospital, Geneva",194
Ruijin Hospital,194
Heidelberg University,193
Postgraduate Institute of Medical Education and Research,192
"Teva Branded Pharmaceutical Products R&D, Inc.",191
UMC Utrecht,191
Centre Hospitalier Universitaire Dijon,190
LEO Pharma,188
"Millennium Pharmaceuticals, Inc.",188
Boston University,187
University Ghent,187
University of Saskatchewan,186
"University of Massachusetts, Worcester",185
