nctid,status,why_stop,label,phase,diseases,icdcodes,drugs,smiless,criteria
NCT00000378,completed,,1,phase 4,"['depression', 'melancholia']","[""['F53.0', 'P91.4', 'Z13.31', 'Z13.32']""]","['sertraline', 'nortriptyline']","['CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12', 'CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12']","
        Inclusion Criteria:

        -

        Patients must have:

        Unipolar major depression (per Diagnostic and Statistical Manuel-IV criteria) with or
        without melancholia.

        Exclusion Criteria:

        -

        Patients with the following symptoms or conditions are excluded:

        Psychotic or atypical subtype of unipolar major depression.
      "
NCT00001656,completed,,1,phase 4,"['childhood schizophrenia', 'psychotic disorder', 'schizophrenia']","[""['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']"", ""['F23', 'F24', 'F12.159', 'F12.259', 'F12.150', 'F12.151', 'F12.250']"", ""['F20.0', 'F20.1', 'F20.2', 'F20.3', 'F20.5', 'F20.89', 'F20.9']""]","['olanzapine', 'clozapine']","['[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C', 'CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12']","
        -  INCLUSION CRITERIA:

        Males and females, age 7 to 18 years

        Onset of psychotic symptoms before 13th birthday and a DSM-IV diagnosis of either
        schizophrenia, schizoaffective disorder, MDI syndrome, or psychosis NOS (not otherwise
        specified).

        Current significant impairment due to the illness (current psychotic symptoms, decline of
        functioning academically and socially, significant discomfort due to psychotic symptoms).

        Failure of two prior trials with antipsychotic medications (either typical or atypical)
        used at adequate doses (greater than or equal to 100 mg/day in chlorpromazine equivalents)
        and for adequate duration (at least 4 weeks, unless terminated due to intolerable side
        effects). Failure is defined as either insufficient response with persistence of symptoms
        significantly impairing child's functioning, according to child's and parental reports and
        medical and school records, or intolerable side effects to drugs other than clozapine and
        olanzapine.

        Subjects may be included if their previous trial(s) of olanzapine failed to reach the dose
        of 20. mg/day or a duration of fewer than four weeks.

        Subjects may be included if their previous trial(s) of clozapine failed to reach the dose
        of 200. mg/day or a duration of fewer than six weeks.

        Comorbid psychiatric disorders in the past 12 months are permitted as long as not
        clinically significant.

        EXCLUSION CRITERIA:

        Prepsychotic full-scale IQ less than 70.

        Unstable major neurological or medical conditions.

        Current pregnancy or plan to become pregnant during the first three months (the duration of
        the study) in woman of childbearing age; breast-feeding in woman with infants.

        DSM-IV substance abuse or dependence in the past 6 months.

        True non-responders to either olanzapine or clozapine. True non-response is defined as: a)
        intolerance to either of the medications preventing an adequate trial, or b) only minimal
        (less than 20%) benefit with the adequate trial of either of the medications. Adequate
        trial constitutes at least 8 weeks of the medication with the dose of 20 mg on olanzapine
        or 200 mg of clozapine.
      "
NCT00002863,terminated,"
    insufficient accrual
  ",0,phase 1,['sarcoma'],"[""['C96.A', 'C46.9', 'C96.22', 'C46.0', 'C46.2', 'C92.31', 'C92.32']""]",['chemotherapy'],['NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F'],"
        DISEASE CHARACTERISTICS: Biopsy-proven soft tissue sarcoma (STS) of the extremity Review by
        Pathology Department of the University of Southern California CT or MRI required prior to
        biopsy Disease in one of the following categories: High-grade tumor Low-grade tumor at high
        risk for local recurrence, i.e.: Adjacent to bone or vital neurovascular structures and
        able to be removed with a minimal surgical margin (i.e., plane of dissection goes through
        reactive zone of tumor) Lesion more than 5 cm in diameter The following tumors exclude:
        Primary sarcoma of the bone Metastatic carcinoma STS of the head and neck Visceral STS,
        e.g., breast, uterus, spermatic cord, mediastinum chest wall STS of the pelvis or
        retroperitoneum

        PATIENT CHARACTERISTICS: Age: Any age Performance status: Not specified Hematopoietic: WBC
        at least 3,000 Platelets at least 75,000 Hemoglobin at least 9 g/Dl Hepatic: Bilirubin no
        greater than 1.5 mg/dL AST/ALT no greater than 2.5 times normal Renal: Not specified Other:
        No concurrent disease that renders patient medically or psychologically unable to tolerate
        treatment

        PRIOR CONCURRENT THERAPY: At least 30 days since therapy for sarcoma
      "
NCT00003060,terminated,"
    lack of patient accrual
  ",0,phase 1,['melanoma (skin)'],"[""['C43.51', 'C43.9', 'C43.52', 'D03.51', 'C43.8', 'Z85.820', 'D03.52']""]","['busulfan', 'cyclophosphamide', 'cyclosporine', 'methotrexate']","['N[C@@H](CCCNC(N)=N)C(O)=O', '[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C', 'CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\\C=C\\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C', 'NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O']","
        DISEASE CHARACTERISTICS: Biopsy proven relapsed malignant melanoma that has failed prior
        standard regimen for metastatic disease Must have HLA-matched or related bone marrow donor
        (5- or 6-antigen match) No history of CNS metastases

        PATIENT CHARACTERISTICS: Age: 16 to 44 Performance status: ECOG 0-2 Life expectancy: At
        least 3 months Hematopoietic: Not specified Hepatic: SGOT and SGPT less than 1.5 times
        upper limit of normal Bilirubin less than 1.5 mg/dL Renal: Creatinine less than 1.5 mg/dL
        AND/OR Creatinine clearance greater than 75 mL/min Cardiovascular: No history of cardiac
        disease No symptomatic cardiac disease Ejection fraction greater than 50% Pulmonary: FEV1
        greater than 50% predicted (greater than 75% if received thoracic irradiation) DLCO greater
        than 50% predicted Other: Not pregnant Fertile women must use effective contraception HIV
        negative No active bacterial, fungal, or viral infection Hepatitis B negative

        PRIOR CONCURRENT THERAPY: At least 1 prior standard regimen for metastatic disease
      "
NCT00003567,terminated,"
    slow accrual
  ",0,phase 1,"['brain and central nervous system tumors', 'lymphoma', 'unspecified adult solid tumor, protocol specific']","[""['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']"", ""['H01.009', 'H02.209', 'H02.009', 'H02.109', 'H04.209', 'H05.409', 'H10.509']""]","['o6-benzylguanine', 'carmustine', 'temozolomide']","['N=C1NC2=C(N=CN2)C(OCC2=CC=CC=C2)=N1', 'ClCCNC(=O)N(CCCl)N=O', 'CN1N=NC2=C(N=CN2C1=O)C(N)=O']","
        DISEASE CHARACTERISTICS:

          -  One of the following histologically confirmed diseases for which no curative surgical,
             radiotherapy, or chemotherapy programs are available and standard therapy offers, at
             best, a modest clinical benefit

               -  Solid tumors

               -  Gliomas

               -  Non-Hodgkin's lymphoma

          -  Primary and metastatic CNS malignancies are eligible

          -  Evaluable or measurable disease

          -  CD34 count at least 2.0 cells/μL

          -  No bone marrow involvement

               -  Histologically negative bone marrow biopsy

        PATIENT CHARACTERISTICS:

        Age:

          -  18 to 70

        Performance status:

          -  ECOG 0-2

        Life expectancy:

          -  At least 12 weeks

        Hematopoietic:

          -  Absolute neutrophil count at least 1,500/mm^3

          -  Platelet count at least 100,000/mm^3

          -  Hemoglobin at least 8.5 g/dL

        Hepatic:

          -  Bilirubin no greater than 1.5 mg/dL

          -  AST and ALT less than 2.5 times normal

          -  Prothrombin time less than 1.2 times normal

        Renal:

          -  Creatinine no greater than 2.0 mg/dL

        Cardiovascular:

          -  No acute cardiac disease by EKG

        Pulmonary:

          -  No symptomatic pulmonary disease

        Other:

          -  HIV negative

          -  No other severe comorbid conditions

          -  Not pregnant or nursing

          -  Fertile patients must use effective contraception during and for 2 months after study
             completion

        PRIOR CONCURRENT THERAPY:

        Biologic therapy:

          -  See Chemotherapy

          -  No prior hematopoietic stem cell transplantation

        Chemotherapy:

          -  No prior high-dose chemotherapy

          -  Prior adjuvant chemotherapy allowed

        Endocrine therapy:

          -  Not specified

        Radiotherapy:

          -  No prior radiotherapy to 25% or more of bone marrow

        Surgery:

          -  Not specified

        Other:

          -  At least 4 weeks since prior myelosuppressive therapy
      "
NCT00003926,terminated,"
    withdrawn due to slow accrual
  ",0,phase 1,"['brain and central nervous system tumors', 'childhood germ cell tumor', 'chordoma', 'kidney cancer', 'liver cancer', 'neuroblastoma', 'ovarian cancer', 'retinoblastoma', 'sarcoma']","[""['F80.81', 'F84.3', 'F93.8', 'F93.9', 'R62.0', 'E71.520', 'F64.2']"", ""['D17.71', 'D30.00', 'D30.01', 'D30.02', 'D41.00', 'D41.01', 'D41.02']"", ""['D13.4', 'Z85.05', 'C22.8', 'C78.7', 'C22.9', 'D37.6']"", ""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']"", ""['C96.A', 'C46.9', 'C96.22', 'C46.0', 'C46.2', 'C92.31', 'C92.32']""]","['amifostine trihydrate', 'busulfan', 'filgrastim', 'melphalan', 'thiotepa']","['NCCCNCCSP(O)(O)=O', 'N[C@@H](CCCNC(N)=N)C(O)=O', 'N[C@@H](CCCNC(N)=N)C(O)=O', 'N[C@@H](CCCNC(N)=N)C(O)=O', '[H][C@]12CC3=C(C=C(OC)C=C3)[C@@]3(CCCC[C@]13[H])CCN2C']","
        Inclusion Criteria:

          -  Histologically confirmed high-risk or relapsed solid tumors or brain tumors,
             including:

               -  Metastatic or relapsed Ewing's sarcoma

               -  Metastatic or relapsed rhabdomyosarcoma

               -  Refractory Wilms' tumor

               -  Diffuse anaplastic Wilms' tumor

               -  Stage III or IV neuroblastoma

               -  Recurrent retinoblastoma

               -  Metastatic or relapsed germ cell tumors

               -  Metastatic or relapsed other soft tissue sarcomas

               -  Small cell ovarian sarcoma

               -  Metastatic or relapsed primitive neuroectodermal tumors of the bone

               -  Recurrent brain tumors

               -  Desmoplastic small round cell tumors

               -  Recurrent or metastatic chordomas

               -  Metastatic or relapsed hepatoblastoma

          -  Patients receive peripheral blood stem cell transplantation only if in complete
             remission or in very good partial remission with no disease progression

          -  Must have radiologic, nuclear image, or histologic verification of relapse

          -  Age 1 to 45

          -  Performance status:Karnofsky 70-100%

          -  Absolute neutrophil count greater than 1,000/mm^3

          -  Platelet count greater than 100,000/mm^3

          -  Hemoglobin count at least 10 g/dL

          -  Bilirubin less than 2 times upper limit of normal (ULN)

          -  SGOT or SGPT less than 2.5 times ULN

          -  Creatinine less than 2 times ULN

          -  Creatinine clearance greater than 70 mL/min

          -  Cardiac shortening fraction greater than 30%

          -  Cardiac ejection fraction greater than 45%

          -  At least 1 week since prior hematopoietic growth factor and recovered

          -  At least 3 weeks since prior chemotherapy (6 weeks for nitrosoureas) and recovered

          -  Recovered from any prior therapy

        Exclusion Criteria:

          -  Osteogenic sarcoma

          -  Less than 4 months

          -  Uncontrolled bleeding

          -  Congestive heart failure

          -  Uncontrolled hypertension

          -  Asthma

          -  Pregnant or nursing

          -  Uncontrolled metabolic disease

          -  Active severe infection

          -  Allergy to aminothiol compounds

          -  Prior bone marrow transplantation

          -  Other concurrent investigational agents
      "
NCT00004239,terminated,"
    poor accrual
  ",0,phase 1,"['chronic myeloproliferative disorders', 'leukemia', 'lymphoma', 'multiple myeloma and plasma cell neoplasm', 'myelodysplastic syndromes']","[""['D47.1']"", ""['C95.91', 'C95.92', 'Z80.6', 'Z85.6', 'C90.11', 'C90.12', 'C91.01']"", ""['S33.110S', 'S33.111S', 'S33.120S', 'S33.121S', 'S33.130S', 'S33.131S', 'S33.140S']"", ""['C96.20', 'C96.29', 'D47.09']"", ""['D46.9', 'D46.C', 'D46.Z']""]",['compound 506u78'],['COC1=NC(N)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O'],"
        DISEASE CHARACTERISTICS: Histologically confirmed hematologic malignancy that has failed
        standard therapy or for which no standard therapy exists, including, but not limited to,
        the following: Acute lymphocytic leukemia Acute myelogenous leukemia Chronic lymphocytic
        leukemia Chronic myelogenous leukemia Multiple myeloma Non-Hodgkin's lymphoma Hodgkin's
        disease No history of CNS disease, including carcinomatous meningitis

        PATIENT CHARACTERISTICS: Age: 18 and over Performance status: CTC 0-2 Life expectancy: Not
        specified Hematopoietic: Not specified Hepatic: Bilirubin: Groups 1-4: Less than 1.5 times
        upper limit of normal (ULN) Group 5: 1.5-4 times ULN Renal: Creatinine clearance: Groups 1
        and 5: Greater than 50 mL/min Group 2: 30-50 mL/min Group 3: Less than 30 mL/min Group 4:
        Less than 30 mL/min, requiring dialysis Neurologic: No history of grade 2 peripheral
        neuropathy No history of seizure disorder No history of neurologic dysfunction Other: Not
        pregnant or nursing Fertile patients must use effective contraception HIV negative

        PRIOR CONCURRENT THERAPY: Biologic therapy: At least 4 weeks since prior immunotherapy
        (e.g., interferon, monoclonal antibodies) No concurrent interleukin-11 for treatment or
        prevention of thrombocytopenia No concurrent prophylactic colony stimulating factors
        Chemotherapy: At least 4 weeks since prior chemotherapy (6 weeks for melphalan, carmustine,
        or mitomycin) At least 72 hours since prior hydroxyurea No prior 506U78 No other concurrent
        chemotherapy Endocrine therapy: At least 72 hours since prior glucocorticoids Concurrent
        continuation of steroids for adrenal failure allowed No concurrent hormones except for
        nondisease related conditions (e.g., insulin for diabetes) No concurrent dexamethasone or
        other steroidal antiemetics Radiotherapy: At least 4 weeks since prior radiotherapy No
        concurrent palliative radiotherapy No concurrent whole brain irradiation for documented CNS
        disease Surgery: Not specified Other: At least 72 hours since prior aspirin
      "
NCT00005612,terminated,"
    low accrual
  ",0,phase 1/phase 2,['ovarian cancer'],"[""['C05.2', 'C10.0', 'C16.0', 'C16.4', 'C17.0', 'C17.1', 'C17.2']""]","['carboplatin', 'cyclophosphamide', 'etoposide', 'paclitaxel', 'topotecan hydrochloride']","['COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1', '[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C', 'N[C@@H](CCCNC(N)=N)C(O)=O', 'CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1', 'N[C@@H](CCCNC(N)=N)C(O)=O']","
        DISEASE CHARACTERISTICS: Histologically proven stage IIIC ovarian epithelial cancer
        Chemosensitive to 6-8 courses of standard dose adjuvant chemotherapy (one regimen), such as
        cisplatin or carboplatin in combination with paclitaxel, or any other standard dose regimen
        Residual disease (no greater than 1 cm) following second look laparotomy Ineligible if no
        microscopic disease present following induction chemotherapy OR Histologically proven newly
        diagnosed stage IV ovarian epithelial cancer Achieved at least partial response (PR) (80%
        or greater reduction in tumor by CT scan) following six courses of standard dose
        chemotherapy (one regimen) OR Residual disease (no greater than 1 cm) or no disease
        determined at the time of second look laparotomy OR Histologically proven relapsed ovarian
        epithelial cancer Relapse following standard dose chemotherapy Chemosensitive Achieved at
        least PR after 4-6 courses of salvage chemotherapy (total of 2 regimens) No more than a six
        week interval between completion of standard dose chemotherapy and second look laparotomy

        PATIENT CHARACTERISTICS: Age: 18 to 65 Performance status: ECOG 0 or 1 Life expectancy: Not
        specified Hematopoietic: Not specified Hepatic: Bilirubin no greater than 2.0 mg/dL ALT or
        AST no greater than 2.5 times normal Renal: Creatinine no greater than 2.0 mg/dL OR
        Creatinine clearance at least 60 mL/min Cardiovascular: Ejection fraction at least 50% by
        MUGA scan No severe cardiac dysfunction or major heart disease No angina pectoris No
        ventricular dysrhythmias Essential hypertension allowed if controlled with medication(s)
        Pulmonary: DLCO at least 50% predicted No symptomatic obstructive or restrictive pulmonary
        disease Other: No active infections HIV negative No uncontrolled insulin dependent diabetes
        mellitus No uncompensated major thyroid or adrenal dysfunction No other malignancy within
        the past 5 years except nonmelanomatous skin cancer Not pregnant or nursing Negative
        pregnancy test

        PRIOR CONCURRENT THERAPY: Biologic therapy: Not specified Chemotherapy: See Disease
        Characteristics No prior topotecan Endocrine therapy: Not specified Radiotherapy: Not
        specified Surgery: See Disease Characteristics Other: No concurrent nitroglycerin
        preparations or antiarrhythmic drugs
      "
NCT00006170,completed,,1,phase 4,['tobacco use disorder'],"[""['Z72.0', 'P04.2']""]","['bupropion', 'placebo']",['CC(NC(C)(C)C)C(=O)C1=CC(Cl)=CC=C1'],"
        Inclusion Criteria:

          -  Smoke at least 10 cigarettes per day

          -  Report concern about cessation-related weight gain

          -  Motivated to quit smoking

        Exclusion Criteria:

          -  Currently pregnant, lactating, or no medically approved method of contraception

          -  Major medical problem

          -  History of seizure disorder or head injury

          -  Current or historical psychosis or bipolar disorder

          -  History of alcohol or substance abuse within previous year

          -  Current or historical eating disorder

          -  Use of antidepressant medication, monoamine oxidase inhibitor or lithium with previous
             month

          -  Multiple Drug Allergies

          -  Current major depressive disorder
      "
NCT00007475,completed,,1,phase 1/phase 2,['focal segmental glomerulosclerosis'],"[""['K55.021', 'K55.041', 'M99.00', 'M99.01', 'M99.02', 'M99.03', 'M99.04']""]",['cyclophosphamide'],['[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C'],"
        -  INCLUSION CRITERIA:

               1. Patients with idiopathic focal segmental glomerulosclerosis on renal biopsy,
                  including the following categories:

                  A) Untreated FSGS

                  B) Steroid-dependent FSGS

                  C) Steroid resistant FSGS

                  D) Recurrent FSGS, with functioning allograft

                  E) FSGS in ESRD, receiving hemodialysis

               2. Adults greater than or equal to18 will be eligible for all studies.

               3. Children greater than 20 kilograms, will be eligible for all branches of the
                  study except for treatment of steroid resistant FSGS with pirfenidone, as
                  pirfenidone has not previously been administered to pediatric patients in any
                  setting. Children less than 20 kilograms will be excluded from the study for the
                  following reason: plasma exchange in patients less than 20 kilograms requires a
                  red blood cell transfusion, which significantly increases the risk of the
                  procedure by exposing the patient to the risk of transfusion associated
                  infections, and the safety of an aggressive course of plasma exchange has not
                  been established in this population.

        EXCLUSION CRITERIA:

          1. Secondary FSGS: HIV-associated FSGS or hyperfiltration FSGS, including FSGS associated
             with congenital renal abnormalities, renal mass reduction, reflux nephropathy,
             interstitial nephritis, and sickle cell anemia are excluded.

          2. Patients with disease associated with immunosuppression, other than chronic renal
             failure.

          3. The presence of malignancy or the history of other serious, complicating illness such
             as myocardial infarction or cerebrovascular accident in the past six months, at the
             discretion of the investigators.

          4. For plasma exchange: A Department of Transfusion Medicine consultant will evaluate all
             potential plasma exchange patients. Those with prolonged PT, PTT, platelet count less
             than 100,000 or receiving anticoagulant therapy will undergo plasma exchange only if
             the consultant considers this to be safe.

          5. For prednisone: uncontrolled diabetes mellitus (requiring greater than 100 units of
             insulin/day with the concurrence of the Endocrinology consultant), active infection
             including hepatitis B or C (if that is the advice of the Hepatology consultant),
             infection with HIV (as these patients are at increased risk of avascular necrosis),
             other active infection (if that is the advice of the Infectious Disease consultant),
             history of avascular necrosis or bone densitometry indicating bone mass less than 2SD
             below normal, active ulcer disease, history of steroid-induced psychosis, morbid
             obesity, positive PPD or history of past positive PPD without adequate treatment are
             excluded.

          6. For Cyclophosphamide:

        A) Allergy or hypersensitivity to cyclophosphamide

        B) Leukocyte less than 3000 cells/microliter or ANC less than 1500 cells/microliter or
        evidence of bone marrow compromise

        C) Prior irradiation to the heart or therapy with doxorubicin or other cardiotoxic
        medication (may increase the risk for cardiotoxicity)

        D) Peritoneal dialysis, as there is no published evidence that cyclophosphamide metabolites
        can be safely removed.

        E) Certain drugs will be used with caution or avoided. Barbiturates and phenytoin induce
        the hepatic enzymes that metabolize cyclophosphamide and therefore if these medications are
        required, cyclophosphamide doses may need to be increased to achieve a comparable
        immunosuppressive effect. Drugs that inhibit cyclophosphamide metabolism include
        allopurinol, imipramine, and phenothiazines, chloramphenicol and chlorpromazine; these
        drugs will be avoided. NSAID increase the risk of hyponatremia; these drugs will be
        avoided.
      "
